,X,Y,Z,Point ID,DEN1,EL1,ENUT,EP,EPKE,KE,P1,PRPS,Points_0,Points_1,Points_2,Points_Magnitude,U1,V1,Vel1_0,Vel1_1,Vel1_2,Vel1_Magnitude,W1,WAF,WAMP,vtkValidPointMask
46,843034.5625,815086.0625,4.824310302734375,0,1.18900001,2.254321814,0.691536963,0.01345640048,1.000000013e-10,0.3158091903,0.3898232877,-1,409.5625,606.0625,3.180910349,731.4802246,-1.892573714,-2.015519619,-1.892573714,-2.015519619,-0.01034125313,2.764825821,-0.01034125313,0.8324596286,1.017452836,1
47,842937.25,814928.0625,5.289520263671875,0,1.18900001,2.279969215,0.7168036103,0.01437886246,1.000000013e-10,0.3318838775,0.2696707249,-1,312.25,448.0625,3.64612031,546.144104,-1.988331914,-2.043684244,-1.988331914,-2.043684244,-0.00622454565,2.851341486,-0.00622454565,0.8554994464,1.048374176,1
48,842938.125,814943.0625,5.74078369140625,0,1.18900001,2.308296204,0.7248058915,0.01422291622,1.000000013e-10,0.3312989175,0.2777105272,-1,313.125,463.0625,4.097383499,559.0089111,-2.001571655,-2.054507971,-2.001571655,-2.054507971,-0.006610212382,2.86833334,-0.006610212382,0.8582695723,1.054616332,1
49,842938.5,814958.0625,5.6226806640625,0,1.18900001,2.300671101,0.7227258086,0.01427448448,1.000000013e-10,0.3315733671,0.2855610847,-1,313.5,478.0625,3.97928071,571.7008057,-2.000304461,-2.051009417,-2.000304461,-2.051009417,-0.006990641821,2.864944458,-0.006990641821,0.8578513265,1.053362608,1
50,842938.5,814973.0625,5.750244140625,0,1.18900001,2.308781385,0.7251223326,0.01423907746,1.000000013e-10,0.3315277398,0.2928994,-1,313.5,493.0625,4.106843948,584.3027954,-2.005864859,-2.0534935,-2.005864859,-2.0534935,-0.007363806944,2.870606899,-0.007363806944,0.8588801026,1.055432081,1
51,842938.4375,814988.0625,5.754302978515625,0,1.18900001,2.30919075,0.7253716588,0.0142486915,1.000000013e-10,0.3316747844,0.3000801504,-1,313.4375,508.0625,4.110902786,596.9819946,-2.008347511,-2.052805901,-2.008347511,-2.052805901,-0.007735022344,2.871851683,-0.007735022344,0.8592173457,1.055875778,1
52,842946.3125,815000.25,5.220230102539063,0,1.18900001,2.275475025,0.7151258588,0.01439702231,1.000000013e-10,0.3317592442,0.3102277219,-1,321.3125,520.25,3.576830149,611.4855347,-1.990565658,-2.039398432,-1.990565658,-2.039398432,-0.008175277151,2.849835873,-0.008175277151,0.8553823829,1.047817588,1
53,842957.0625,815009.9375,5.4159698486328125,0,1.18900001,2.287910938,0.7173929811,0.01425446384,1.000000013e-10,0.3303540945,0.3208776712,-1,332.0625,529.9375,3.772569895,625.390686,-1.988967299,-2.044853687,-1.988967299,-2.044853687,-0.008609814569,2.852628946,-0.008609814569,0.8552391529,1.048891425,1
54,842971.8125,815012.6875,5.0997467041015625,0,1.18900001,2.268036604,0.7095727921,0.01422930788,1.000000013e-10,0.3287013471,0.3279795647,-1,346.8125,532.6875,3.45634675,635.6467896,-1.96865344,-2.035840511,-1.96865344,-2.035840511,-0.00880240649,2.832016945,-0.00880240649,0.8507617712,1.041436911,1
55,842986.5625,815015.375,4.8011322021484375,0,1.18900001,2.249279976,0.7019643784,0.01418786589,1.000000013e-10,0.3268933594,0.3348010778,-1,361.5625,535.375,3.157732248,646.0369873,-1.948307157,-2.026931047,-1.948307157,-2.026931047,-0.00897349976,2.811481953,-0.00897349976,0.8462122083,1.034015059,1
56,843001.1875,815013.625,4.5208740234375,0,1.18900001,2.231546402,0.6947222948,0.01414106134,1.000000013e-10,0.3250981867,0.3392475843,-1,376.1875,533.625,2.87747407,652.9019775,-1.92840457,-2.018674374,-1.92840457,-2.018674374,-0.009033408947,2.791750669,-0.009033408947,0.8417953253,1.026878238,1
57,843012.5625,815004.0625,4.2406768798828125,0,1.18900001,2.21365118,0.688023746,0.01412876695,1.000000013e-10,0.3238365352,0.3371275067,-1,387.5625,524.0625,2.597276926,651.8074341,-1.912306786,-2.009741068,-1.912306786,-2.009741068,-0.008805065416,2.774176359,-0.008805065416,0.8379848003,1.020482302,1
58,843021.75,814992.25,4.327789306640625,0,1.18900001,2.219121695,0.6883423328,0.01402145717,1.000000013e-10,0.3225530386,0.3324510455,-1,396.75,512.25,2.684389353,647.9335327,-1.908363461,-2.010736227,-1.908363461,-2.010736227,-0.008471148089,2.77218008,-0.008471148089,0.8369407654,1.019762993,1
59,843031.0,814980.4375,4.38604736328125,0,1.18900001,2.222758532,0.6883161068,0.01393439621,1.000000013e-10,0.3214666247,0.3276479542,-1,406.0,500.4375,2.742647409,644.4231567,-1.904278398,-2.011378288,-1.904278398,-2.011378288,-0.008150981739,2.769834995,-0.008150981739,0.8359287381,1.018899441,1
60,843040.1875,814968.5625,4.4925537109375,0,1.18900001,2.229431868,0.6893234253,0.0138428295,1.000000013e-10,0.3204961121,0.3226531446,-1,415.1875,488.5625,2.849153757,641.1568604,-1.902194142,-2.013662338,-1.902194142,-2.013662338,-0.007843534462,2.770061493,-0.007843534462,0.8354325294,1.018964529,1
